stock_name,Beta
اتكاي,0.4895995956627294
اعتلا,1.021721276511994
بتك,0.3393577341430718
بهپاك,1.1369962039882249
تكنار,0.4192369621752117
ثالوند,1.0730833367407628
ثشاهد,1.9482950765740985
جهرم,0.3794042118934226
خساپا,1.0287493528033824
خودكفا,1.0722795888829588
رتاپ,1.1171477150124376
سدور,1.050849063084099
سشرق,0.5876214452848261
شفا,1.012112162098044
شكلر,1.2394620178814972
شپنا,0.8473102441201605
غشاذر,1.0836606180749193
فولاي,1.15506451307012
قچار,1.2013779368871191
كحافظ,1.1353284653443647
كرازي,0.6953657632310127
كسرام,1.075433907406172
كفرآور,0.9701444907036951
لابسا,1.0408124682518807
وآذر,1.2873672884552536
واتي,0.8626531484781466
وساپا,1.7616055799616697
ونيكي,0.8607786186676192
وپارس,0.8550784975160385
پاسا,1.2521027170950694
