stock_name,avg_return,risk,sharpe_ratio
اتكاي,-0.02688894847378846,0.12185645029268782,-0.3683756449984337
اعتلا,-0.015899333349887603,0.1509649349823402,-0.22455104129878323
بتك,0.03253511288745418,0.13492440403618966,0.10772782723246675
بهپاك,-0.0042320615084820365,0.16965941821859626,-0.13103935957057994
تكنار,-0.010151378823290497,0.09513384905453488,-0.2959133799700766
ثالوند,-0.011625600547025685,0.221421483414981,-0.13379731763201289
ثشاهد,0.002627918199372846,0.21894732664092664,-0.07020904085226556
جهرم,-0.011535264375408315,0.09390868658565363,-0.3145104616969523
خساپا,-0.0016701132816202987,0.1754672255102994,-0.1121013524002277
خودكفا,-0.009694897996191502,0.14574933698690673,-0.19001731718806686
رتاپ,0.003816397011845088,0.15428931775996377,-0.09192861303736599
سدور,0.004879630820324821,0.14158868154362506,-0.09266538141774168
سشرق,0.017582602650759564,0.13113131545176057,-0.003183048593712793
شفا,-0.004395686459894933,0.16181362668442634,-0.13840420562090025
شكلر,0.0032439310274872644,0.19913176959024032,-0.0741020330551813
شپنا,-0.001108131120150348,0.16519590758464509,-0.11566951869167517
غشاذر,0.00574444040844278,0.1349428767048261,-0.09082035221736837
فولاي,-0.026830421753035696,0.18771170525800324,-0.23882592559381333
قچار,-0.028872909007304288,0.18050079975456215,-0.25968255581714994
كحافظ,-0.017214552122746668,0.17210354123245708,-0.20461259466580659
كرازي,-0.021479619108526558,0.14846979385123021,-0.26591010928516506
كسرام,0.01355150382423266,0.17644771388358224,-0.025211412932798858
كفرآور,0.006502771814954975,0.14103760219468092,-0.08151888578745724
لابسا,-0.01835111371872982,0.19030237782367165,-0.19101765376999988
وآذر,-0.007224942259547959,0.22345863022436274,-0.11288417115159508
واتي,-0.006044991705614883,0.15007232516065228,-0.16022269049189944
وساپا,0.021537053682002892,0.21036551086385175,0.016813847799851893
ونيكي,-2.8470980056252076e-05,0.14393033150108323,-0.12525831624253966
وپارس,-0.005014092825217765,0.12891590853040982,-0.17852019264006502
پاسا,0.0030715581195558716,0.15838287691921954,-0.0942554029250152
